,Month 1,Month 2,Month 3,Month 4,Month 5
1FDBOM356,8,6,3,6,7
1FNJDP19,1,2,8,7,4
1FNVAR42,4,5,10,7,5
1CRHGJAN03,23,4,4,22,31
1CRMHTH33,28,35,37,32,32
1CRWBHG501,19,13,10,10,8
1RDDMUM64,8,10,3,5,2
1FNKAN123,4,10,1,5,5
1FNBBN12,12,4,2,7,12
1CRUPVA01,6,9,12,13,8
1CRHRJAJ03,7,4,6,9,11
1FNMHG02,7,7,4,7,11
1FDBNK16,10,7,12,10,10
1CRMHMU502,5,6,8,13,7
1RDDKAN10,21,14,19,24,9
1RDNMIR02,17,10,10,6,19
1FDKAN163,7,5,7,6,0
1FDAJM27,8,13,11,22,12
1FNPGS05,11,10,7,8,7
1CRUPLK08,6,3,2,8,10
1FNSBK07,6,4,6,4,4
2CRMHMU43,23,22,5,9,36
1FNAHM115,6,5,7,9,7
1FNVAR80,10,15,5,4,5
1FDKUS04,26,8,10,6,11
1CRMHMU24,24,7,13,13,15
1FNANA43,10,4,5,1,2
1RNDAZM06,21,11,18,7,12
1fdbom155,8,6,2,5,5
1FDBOM384,2,8,7,0,0
1RDWPGS01 ,8,10,5,8,2
1FDDAR03,2,2,0,0,5
1CRGJAH41,11,7,18,15,9
1FNGZP10,4,5,14,12,5
1FNUNO03,10,5,1,10,6
1FNDAR04,4,2,3,0,3
1RDDVAR09,18,15,18,15,19
1FNALD70,4,15,8,5,2
1RDNKOT01,12,11,12,1,2
1CRGJAN16,7,7,3,6,9
1FNMLD02,4,2,4,0,5
1RDNPTN01,2,1,5,4,3
1FNKOL230,13,7,6,6,6
1FNCND03,22,19,18,2,6
1RDNKOL08,2,2,3,0,1
1RDNKOL44,15,16,11,16,11
1FNRBL11,10,5,7,4,7
1RDNKOL39,5,5,4,2,8
1RDWHOG01,5,9,9,7,4
1FNKOL149,12,1,2,0,2
1CRUPSU02,12,10,15,2,5
1FNJDP72,2,5,3,5,6
1FNALD38,9,6,2,8,2
1CRRJJP501,20,6,5,8,20
1FDLUC110,15,13,11,6,5
1FNKOL94,14,17,10,12,16
1RDWKOL70,17,17,16,28,16
1FDBAN03,18,15,11,7,9
1FNJHU21,4,4,10,4,7
1FNAIZ02,2,4,10,6,7
