,Month 1,Month 2,Month 3,Month 4,Month 5
1RDDKAN07,16,40,8,45,37
1RDNLUC31,11,50,4,42,74
1RDNNAD01,5,31,1,28,42
1RDNMIR02,15,50,15,88,87
1RDNUDP02,10,31,12,6,47
1CRGJRJ01,2,47,10,48,79
1CRMHMU48,19,61,5,60,58
1CRMHMU28,13,58,20,87,116
1CRMHMU41,7,64,22,104,85
1CRRJAJ11,16,133,27,87,132
1CRUPSU02,9,45,7,73,108
1DBA09734,4,12,6,23,26
1FDBOM130,24,11,0,0,0
1FDBOM359,7,25,7,0,0
1FDBOM390,13,33,12,43,42
1FDHOW03,8,29,19,96,35
1FDKUT12,4,26,0,3,0
1FDSRO04,9,16,11,20,26
1FDTNK17,18,44,34,64,65
1FDUDP46,10,61,26,69,72
1FNAJM65,15,19,12,43,31
1FNALD89,13,56,13,28,39
1FNANA27,8,10,2,17,11
1FNBDN10,9,38,13,35,24
1FNBIK48,6,38,23,49,62
1FNBOM60,10,51,6,43,29
1FNCND05,15,42,7,31,27
1FNFZB43,10,38,6,86,101
1FNGDH09,7,19,9,18,17
1FNGOL01,8,23,6,24,17
1FNGZP09,17,97,27,23,0
1FNJAI115,2,9,4,17,20
1FNJNP10,11,43,13,82,42
1FNKAN40,3,24,4,44,63
1FNKAN87,6,33,13,24,25
1FNKOL132,9,17,2,24,27
1FNKOL151,7,42,15,41,51
1FNKOL242,5,20,2,48,16
1FNRAJ52,4,12,1,58,36
1FNRVN05,1,37,13,54,31
1FNVAR93,23,25,0,15,22
1RDDLUC07,13,39,21,124,73
1RDDMUM27,10,14,4,30,13
1RDDMUM80,10,14,6,22,25
1RDDVAR04,20,89,3,26,0
1RDNGON01,4,11,13,31,23
1RDNJAI01,2,14,4,23,41
1RDNKOL11,6,31,16,35,27
1RDNTAL01,6,24,2,52,35
1RDWFZB05,15,81,26,67,46
1RDWVAR28,11,53,35,81,102
1CRHMHMU04,4,60,13,52,75
1CRMHMU35,14,68,17,83,78
1CRRJCH03,7,44,3,67,66
1CRRJJP21,10,67,17,96,41
1DBA08851,3,50,12,18,45
1FDAHM147,17,50,1,51,57
1FDBOM176,43,68,25,42,64
1FDBOM155,15,86,14,84,106
1FDBOM221,17,63,2,35,45
1FDBOM269,13,47,3,0,0
1FDBOM280,9,0,0,0,0
1FDFTP47,22,33,10,57,79
1FDFZB39,20,155,10,69,31
1FDJAI133,10,21,4,31,48
1FDKOL174,8,70,12,60,61
1FDKOL190,15,47,8,53,20
1FDLUC113,3,40,10,27,35
1FDPGS08,9,72,24,67,72
1FNABN32,21,36,12,49,61
1FNAJM61,4,18,2,23,34
1FNAJM74,6,20,7,18,45
1FNALD125,13,51,11,108,27
1FNBHL09,19,91,7,18,15
1FNBHL23,8,13,2,11,8
1FNBOM188,11,37,5,39,50
1FNJHU12,9,16,2,15,1
1FNJMG14,8,8,3,13,7
1FNJUN23,11,28,6,39,29
1FNKAN124,9,33,3,40,30
1FNKAN34,9,22,5,36,34
1FNKAN44,18,90,22,24,92
1FNKMR06,4,18,6,14,7
1FNMDP05,8,33,4,33,27
1FNNGU15,10,65,5,37,42
1FNPLI12,16,45,0,31,53
1FNPTP26,5,31,0,16,22
1FNRGH02,7,37,5,18,26
1FNSUL33,5,37,20,76,52
1FNTNK09,13,83,2,2,7
1RDDRAJ09,5,79,4,55,28
1RDNKOL34,15,26,2,22,28
1CRGJAH18,14,78,16,92,78
1CRGJAH33,8,50,8,54,99
1CRGJRJ02,17,116,20,99,108
1CRMHMU42,17,81,15,72,113
1CRMHMU64,14,37,0,0,0
1CRUPMZ01,5,5,6,57,80
1FDBOM229,2,605,30,0,0
1FDBOM285,3,64,14,95,84
1FDBOM327,27,112,35,156,131
1FDKOL186,4,34,7,34,47
1FNAJM17,6,18,5,41,32
1FNALD115,2,32,10,26,44
1FNALD116,11,9,5,127,120
1FNALD120,10,43,13,52,34
1FNANA24,8,41,3,13,31
1FNBAL08,16,18,7,24,32
1FNBDN13,8,31,20,39,62
1FNBHI07,3,8,6,24,21
1FNBHI09,4,11,4,13,24
1FNBHP03,12,27,9,33,40
1FNBIK54,10,34,4,14,36
1FNCHT05,12,17,6,26,32
1FNCHU07,13,52,10,46,49
1FNFZB31,11,40,14,36,46
1FNJAI153,12,42,11,59,60
1FNJDP24,9,17,0,34,14
1FNJDP56,14,32,8,32,46
1FNJDP62,9,13,0,35,68
1FNJMG40,2,0,1,8,17
1FNJUN08,11,22,4,36,25
1FNKAN79,5,22,16,35,55
1FNKHD55,4,14,2,14,6
1FNKOL115,5,25,5,20,33
1FNKOL124,7,19,7,33,10
1FNKOL237,8,18,8,14,12
1FNKUS05,5,18,15,65,34
1FNMAU04,10,35,9,63,8
1FNRAJ53,5,16,2,33,23
1FNSBK17,21,27,5,55,54
1FNSGN01,3,21,8,39,31
1FNSIK20,6,54,7,83,92
1FNSOU02,6,11,10,17,22
1FNSSR01,25,62,21,44,79
1FNSUL34,13,41,7,60,82
1FNTNK27,8,33,11,82,65
1RDDLUC03,20,69,1,43,56
1RDDMUM38,14,29,32,96,91
1RDDMUM49,6,28,9,40,51
1RDNANA07,8,40,3,36,31
1RDNJDP02,6,27,7,30,46
1RDNMUM71,6,50,6,43,30
1RDWKRI01,14,0,12,57,94
1RDWVAR31,16,41,11,80,69
1CRGJAN10,3,39,4,41,4
1CRHRJBH02,3,42,2,36,39
1CRRJBM01,20,56,18,46,78
1CRRJJL01,24,188,44,76,77
1CRRJJP12,7,46,16,65,40
1CRRJSK02,10,81,29,81,44
1CRUPAB02,27,80,28,190,173
1CRUPKN10,2,66,11,82,70
1FDAHM177,7,45,7,69,60
1FDAJM30,1,20,11,39,33
1FDBOM122,10,63,9,75,83
1FDBOM196,2,22,2,16,24
1FDBRM12,4,41,15,48,65
1FDJAI70,3,61,7,36,30
1FDMEH49,7,62,8,46,60
1FDRGH07,9,66,6,3,0
1FNAHM153,2,13,5,20,19
1FNAHM88,13,21,3,31,23
1FNALD81,20,32,7,41,41
1FNANA38,15,15,9,43,27
1FNANA64,10,35,10,27,31
1FNBHR03,6,36,9,24,24
1FNBIK09,19,46,10,52,30
1FNBNW05,4,25,10,90,50
1FNCHU05,8,26,2,10,24
1FNDAU18,2,21,2,14,9
1FNDUN22,6,31,7,20,21
1FNFZB18,19,50,15,51,55
1FNGDH05,9,21,3,27,38
1FNJAI43,4,23,9,35,32
1FNJDP40,2,21,4,98,59
1FNJHU04,6,18,7,88,75
1FNJLR12,7,0,0,25,21
1FNJUN14,6,28,0,4,7
1FNKAN140,13,67,0,123,59
1FNKAN70,5,30,6,54,44
1FNMEH36,9,15,8,27,42
1FNPTN18,11,41,8,43,41
1FNRAJ42,7,35,5,20,29
1FNRBL32,10,32,13,74,63
1FNSAN08,9,51,16,28,28
1FNSTP05,10,177,38,26,33
1FNSUL23,3,2,4,32,21
1RDDLUC16,18,111,20,126,130
1RDDMUM64,11,42,6,54,35
1RDDRBL02,26,171,20,74,55
1RDNANA02,5,23,4,34,46
1RDNNAD03,4,24,4,28,0
1RDWBOM53,10,56,13,67,80
1RDWBOM50,4,42,6,92,60
1RDWCSM03,4,25,6,42,48
1RDWCTR01,4,53,13,50,25
1RDWJAI36,5,34,12,51,45
1RDWHOW01,15,51,15,51,65
1RDWMEH17,12,31,12,59,65
1RDWRSM01,2,37,8,43,43
1RDWVAR26,4,53,22,100,44
1RDWTNK02,4,38,11,23,55
1RDWUDP13,5,46,8,66,65
1RDWVAR22,10,63,12,71,112
1CRGJAH06,2,81,8,111,96
1CRGJAH15,4,55,7,63,59
1CRGJAH20,12,64,28,75,80
1CRGJAN13,9,29,4,49,119
1CRGJAN16,2,63,10,97,65
1CRGJJU01,3,28,6,60,63
1CRHGJAH01,4,77,18,79,52
1CRHKOBR01,5,46,7,36,38
1CRHUPLU10,3,17,3,28,44
1CRHUPVA03,18,30,10,80,63
1CRMHMU24,6,30,13,83,91
1CRMHMU507,14,59,12,108,88
1CRMLWK01,1,39,7,69,85
1CRRJJP18,17,60,8,64,32
1CRRJSK04,12,75,13,84,78
1FDAHM176,11,49,12,53,54
1FDALW15,17,43,2,30,207
1FDAZM09,15,63,19,76,58
1FDBOM222,19,41,24,64,69
1FDBOM376,14,20,13,1,0
1FDBST04,10,17,3,75,65
1FDCAC03,6,9,7,26,21
1FDDAR09,9,21,5,36,12
1FDDUN23,6,0,5,55,89
1FDGKP11,20,97,15,125,84
1FDKAN153,10,106,18,15,48
1FDRAJ66,15,48,6,90,112
1FNAJM36,7,16,2,25,14
1FNAJM76,6,11,7,13,21
1FNALD132,12,67,17,66,37
1FNALD59,1,51,2,26,46
1FNAMT02,33,205,34,45,70
1FNANA26,7,17,0,8,16
1FNBAN05,19,13,5,20,33
